base,ligand,solvent,concentration,temperature,yield
KOAc,PCy3 HBF4,DMAc,0.057,120,18.38
KOAc,PPh3,DMAc,0.057,120,45.85
KOAc,X-Phos,DMAc,0.057,120,77.58
KOPiv,BrettPhos,DMAc,0.057,120,0
KOPiv,PPhtBu2,DMAc,0.057,120,2.82
KOPiv,tBPh-CPhos,DMAc,0.057,120,55.96
KOPiv,PCy3 HBF4,DMAc,0.057,120,29.51
KOPiv,PPh3,DMAc,0.057,120,91.27
KOPiv,X-Phos,DMAc,0.057,120,62.07
CsOAc,BrettPhos,DMAc,0.057,120,1.68
CsOAc,PPhtBu2,DMAc,0.057,120,1.62
CsOAc,tBPh-CPhos,DMAc,0.057,120,66.84
CsOAc,PCy3 HBF4,DMAc,0.057,120,35.61
CsOAc,PPh3,DMAc,0.057,120,89.71
CsOAc,X-Phos,DMAc,0.057,120,88.41
CsOPiv,BrettPhos,DMAc,0.057,120,0
CsOPiv,PPhtBu2,DMAc,0.057,120,0
CsOPiv,tBPh-CPhos,DMAc,0.057,120,14.24
CsOPiv,PCy3 HBF4,DMAc,0.057,120,26.22
CsOPiv,PPh3,DMAc,0.057,120,84.64
CsOPiv,X-Phos,DMAc,0.057,120,38.48
KOAc,BrettPhos,BuCN,0.057,120,17
KOAc,PPhtBu2,BuCN,0.057,120,0
KOAc,tBPh-CPhos,BuCN,0.057,120,8.52
KOAc,PCy3 HBF4,BuCN,0.057,120,0.89
KOAc,PPh3,BuCN,0.057,120,11.5
KOAc,X-Phos,BuCN,0.057,120,43.22
KOPiv,BrettPhos,BuCN,0.057,120,50.55
KOPiv,PPhtBu2,BuCN,0.057,120,0
KOPiv,tBPh-CPhos,BuCN,0.057,120,6.2
KOPiv,PCy3 HBF4,BuCN,0.057,120,3.25
KOPiv,PPh3,BuCN,0.057,120,12.19
KOPiv,X-Phos,BuCN,0.057,120,27.8
CsOAc,BrettPhos,BuCN,0.057,120,54.26
CsOAc,PPhtBu2,BuCN,0.057,120,0
CsOAc,tBPh-CPhos,BuCN,0.057,120,7.42
CsOAc,PCy3 HBF4,BuCN,0.057,120,3.04
CsOAc,PPh3,BuCN,0.057,120,11.19
CsOAc,X-Phos,BuCN,0.057,120,72.21
CsOPiv,BrettPhos,BuCN,0.057,120,42.63
CsOPiv,PPhtBu2,BuCN,0.057,120,0
CsOPiv,tBPh-CPhos,BuCN,0.057,120,5.24
CsOPiv,PCy3 HBF4,BuCN,0.057,120,4.78
CsOPiv,PPh3,BuCN,0.057,120,9.46
CsOPiv,X-Phos,BuCN,0.057,120,31.51
KOAc,BrettPhos,BuOAc,0.057,120,27.16
KOAc,PPhtBu2,BuOAc,0.057,120,0
KOAc,tBPh-CPhos,BuOAc,0.057,120,6.22
KOAc,PCy3 HBF4,BuOAc,0.057,120,0
KOAc,PPh3,BuOAc,0.057,120,5.67
KOAc,X-Phos,BuOAc,0.057,120,61.86
KOPiv,BrettPhos,BuOAc,0.057,120,66.9
KOPiv,PPhtBu2,BuOAc,0.057,120,0
KOPiv,tBPh-CPhos,BuOAc,0.057,120,3.88
KOPiv,PCy3 HBF4,BuOAc,0.057,120,0
KOPiv,PPh3,BuOAc,0.057,120,3.07
KOPiv,X-Phos,BuOAc,0.057,120,21.74
CsOAc,BrettPhos,BuOAc,0.057,120,30.02
CsOAc,PPhtBu2,BuOAc,0.057,120,0
CsOAc,tBPh-CPhos,BuOAc,0.057,120,4.85
CsOAc,PCy3 HBF4,BuOAc,0.057,120,0
CsOAc,PPh3,BuOAc,0.057,120,3.51
CsOAc,X-Phos,BuOAc,0.057,120,7.02
CsOPiv,BrettPhos,BuOAc,0.057,120,33.65
CsOPiv,PPhtBu2,BuOAc,0.057,120,0
CsOPiv,tBPh-CPhos,BuOAc,0.057,120,8.24
CsOPiv,PCy3 HBF4,BuOAc,0.057,120,0
CsOPiv,PPh3,BuOAc,0.057,120,2.35
CsOPiv,X-Phos,BuOAc,0.057,120,22.87
KOAc,BrettPhos,p-Xylene,0.057,120,8.69
KOAc,PPhtBu2,p-Xylene,0.057,120,0
KOAc,tBPh-CPhos,p-Xylene,0.057,120,0.15
KOAc,PCy3 HBF4,p-Xylene,0.057,120,0
KOAc,PPh3,p-Xylene,0.057,120,2.59
KOAc,X-Phos,p-Xylene,0.057,120,45.62
KOPiv,BrettPhos,p-Xylene,0.057,120,43.05
KOPiv,PPhtBu2,p-Xylene,0.057,120,0
KOPiv,tBPh-CPhos,p-Xylene,0.057,120,18.22
KOPiv,PCy3 HBF4,p-Xylene,0.057,120,0
KOPiv,PPh3,p-Xylene,0.057,120,2.44
KOPiv,X-Phos,p-Xylene,0.057,120,26.97
CsOAc,BrettPhos,p-Xylene,0.057,120,38.44
CsOAc,PPhtBu2,p-Xylene,0.057,120,0
CsOAc,tBPh-CPhos,p-Xylene,0.057,120,15.98
CsOAc,PCy3 HBF4,p-Xylene,0.057,120,0
CsOAc,PPh3,p-Xylene,0.057,120,6.18
CsOAc,X-Phos,p-Xylene,0.057,120,54.52
CsOPiv,BrettPhos,p-Xylene,0.057,120,26.52
CsOPiv,PPhtBu2,p-Xylene,0.057,120,0
CsOPiv,tBPh-CPhos,p-Xylene,0.057,120,20.07
CsOPiv,PCy3 HBF4,p-Xylene,0.057,120,0
CsOPiv,PPh3,p-Xylene,0.057,120,1.76
CsOPiv,X-Phos,p-Xylene,0.057,120,39.32
KOAc,BrettPhos,DMAc,0.153,90,5.75
KOAc,PPhtBu2,DMAc,0.153,90,0
KOAc,tBPh-CPhos,DMAc,0.153,90,37.38
KOAc,PCy3 HBF4,DMAc,0.153,90,0.41
KOAc,PPh3,DMAc,0.153,90,11.68
KOAc,X-Phos,DMAc,0.153,90,38.79
KOPiv,BrettPhos,DMAc,0.153,90,0.66
KOPiv,PPhtBu2,DMAc,0.153,90,0
KOPiv,tBPh-CPhos,DMAc,0.153,90,8.5
KOPiv,PCy3 HBF4,DMAc,0.153,90,2.52
KOPiv,PPh3,DMAc,0.153,90,38.79
KOPiv,X-Phos,DMAc,0.153,90,60.68
CsOAc,BrettPhos,DMAc,0.153,90,6.26
CsOAc,PPhtBu2,DMAc,0.153,90,0
CsOAc,tBPh-CPhos,DMAc,0.153,90,12.44
CsOAc,PCy3 HBF4,DMAc,0.153,90,2.53
CsOAc,PPh3,DMAc,0.153,90,31.85
CsOAc,X-Phos,DMAc,0.153,90,86.14
CsOPiv,BrettPhos,DMAc,0.153,90,0
CsOPiv,PPhtBu2,DMAc,0.153,90,0
CsOPiv,tBPh-CPhos,DMAc,0.153,90,3.55
CsOPiv,PCy3 HBF4,DMAc,0.153,90,2.53
CsOPiv,PPh3,DMAc,0.153,90,28.53
CsOPiv,X-Phos,DMAc,0.153,90,27.79
KOAc,BrettPhos,BuCN,0.153,90,12.07
KOAc,PPhtBu2,BuCN,0.153,90,0
KOAc,tBPh-CPhos,BuCN,0.153,90,4.97
KOAc,PCy3 HBF4,BuCN,0.153,90,0
KOAc,PPh3,BuCN,0.153,90,2.66
KOAc,X-Phos,BuCN,0.153,90,32.5
KOPiv,BrettPhos,BuCN,0.153,90,13.31
KOPiv,PPhtBu2,BuCN,0.153,90,0
KOPiv,tBPh-CPhos,BuCN,0.153,90,5.65
KOPiv,PCy3 HBF4,BuCN,0.153,90,0
KOPiv,PPh3,BuCN,0.153,90,0.85
KOPiv,X-Phos,BuCN,0.153,90,33.95
CsOAc,BrettPhos,BuCN,0.153,90,28.02
CsOAc,PPhtBu2,BuCN,0.153,90,0
CsOAc,tBPh-CPhos,BuCN,0.153,90,0
CsOAc,PCy3 HBF4,BuCN,0.153,90,0
CsOAc,PPh3,BuCN,0.153,90,0
CsOAc,X-Phos,BuCN,0.153,90,0
CsOPiv,BrettPhos,BuCN,0.153,90,54.55
CsOPiv,PPhtBu2,BuCN,0.153,90,0
CsOPiv,tBPh-CPhos,BuCN,0.153,90,8.95
CsOPiv,PCy3 HBF4,BuCN,0.153,90,0
CsOPiv,PPh3,BuCN,0.153,90,2.53
CsOPiv,X-Phos,BuCN,0.153,90,75.4
KOAc,BrettPhos,BuOAc,0.153,90,15.36
KOAc,PPhtBu2,BuOAc,0.153,90,0
KOAc,tBPh-CPhos,BuOAc,0.153,90,3.68
KOAc,PCy3 HBF4,BuOAc,0.153,90,0
KOAc,PPh3,BuOAc,0.153,90,1.39
KOAc,X-Phos,BuOAc,0.153,90,25.35
KOPiv,BrettPhos,BuOAc,0.153,90,42.48
KOPiv,PPhtBu2,BuOAc,0.153,90,0
KOPiv,tBPh-CPhos,BuOAc,0.153,90,11.24
KOPiv,PCy3 HBF4,BuOAc,0.153,90,0
KOPiv,PPh3,BuOAc,0.153,90,2.58
KOPiv,X-Phos,BuOAc,0.153,90,32.68
CsOAc,BrettPhos,BuOAc,0.153,90,17.16
CsOAc,PPhtBu2,BuOAc,0.153,90,0
CsOAc,tBPh-CPhos,BuOAc,0.153,90,7.74
CsOAc,PCy3 HBF4,BuOAc,0.153,90,0
CsOAc,PPh3,BuOAc,0.153,90,0.81
CsOAc,X-Phos,BuOAc,0.153,90,82.21
CsOPiv,BrettPhos,BuOAc,0.153,90,21.5
CsOPiv,PPhtBu2,BuOAc,0.153,90,0
CsOPiv,tBPh-CPhos,BuOAc,0.153,90,8.72
CsOPiv,PCy3 HBF4,BuOAc,0.153,90,0
CsOPiv,PPh3,BuOAc,0.153,90,0.6
CsOPiv,X-Phos,BuOAc,0.153,90,46.57
KOAc,BrettPhos,p-Xylene,0.153,90,13.85
KOAc,PPhtBu2,p-Xylene,0.153,90,0
KOAc,tBPh-CPhos,p-Xylene,0.153,90,9.79
KOAc,PCy3 HBF4,p-Xylene,0.153,90,0
KOAc,PPh3,p-Xylene,0.153,90,0.78
KOAc,X-Phos,p-Xylene,0.153,90,28.36
KOPiv,BrettPhos,p-Xylene,0.153,90,38.45
KOPiv,PPhtBu2,p-Xylene,0.153,90,0
KOPiv,tBPh-CPhos,p-Xylene,0.153,90,24.02
KOPiv,PCy3 HBF4,p-Xylene,0.153,90,0
KOPiv,PPh3,p-Xylene,0.153,90,1.58
KOPiv,X-Phos,p-Xylene,0.153,90,31.55
CsOAc,BrettPhos,p-Xylene,0.153,90,41.03
CsOAc,PPhtBu2,p-Xylene,0.153,90,0
CsOAc,tBPh-CPhos,p-Xylene,0.153,90,17.53
CsOAc,PCy3 HBF4,p-Xylene,0.153,90,0
CsOAc,PPh3,p-Xylene,0.153,90,5.38
CsOAc,X-Phos,p-Xylene,0.153,90,66.03
CsOPiv,BrettPhos,p-Xylene,0.153,90,23.57
CsOPiv,PPhtBu2,p-Xylene,0.153,90,0
CsOPiv,tBPh-CPhos,p-Xylene,0.153,90,25.67
CsOPiv,PCy3 HBF4,p-Xylene,0.153,90,0
CsOPiv,PPh3,p-Xylene,0.153,90,0.25
CsOPiv,X-Phos,p-Xylene,0.153,90,44.28
KOAc,BrettPhos,DMAc,0.153,105,5.49
KOAc,PPhtBu2,DMAc,0.153,105,0
KOAc,tBPh-CPhos,DMAc,0.153,105,57.33
KOAc,PCy3 HBF4,DMAc,0.153,105,5.25
KOAc,PPh3,DMAc,0.153,105,30.44
KOAc,X-Phos,DMAc,0.153,105,48.86
KOPiv,BrettPhos,DMAc,0.153,105,0.74
KOPiv,PPhtBu2,DMAc,0.153,105,0
KOPiv,tBPh-CPhos,DMAc,0.153,105,24.8
KOPiv,PCy3 HBF4,DMAc,0.153,105,12.78
KOPiv,PPh3,DMAc,0.153,105,71.11
KOPiv,X-Phos,DMAc,0.153,105,82.28
CsOAc,BrettPhos,DMAc,0.153,105,7.34
CsOAc,PPhtBu2,DMAc,0.153,105,0
CsOAc,tBPh-CPhos,DMAc,0.153,105,20.73
CsOAc,PCy3 HBF4,DMAc,0.153,105,10.25
CsOAc,PPh3,DMAc,0.153,105,66.27
CsOAc,X-Phos,DMAc,0.153,105,84.48
CsOPiv,BrettPhos,DMAc,0.153,105,0
CsOPiv,PPhtBu2,DMAc,0.153,105,0
CsOPiv,tBPh-CPhos,DMAc,0.153,105,6.54
CsOPiv,PCy3 HBF4,DMAc,0.153,105,9.07
CsOPiv,PPh3,DMAc,0.153,105,45.28
CsOPiv,X-Phos,DMAc,0.153,105,40.06
KOAc,BrettPhos,BuCN,0.153,105,22.3
KOAc,PPhtBu2,BuCN,0.153,105,0
KOAc,tBPh-CPhos,BuCN,0.153,105,6.88
KOAc,PCy3 HBF4,BuCN,0.153,105,0
KOAc,PPh3,BuCN,0.153,105,6.67
KOAc,X-Phos,BuCN,0.153,105,75.39
KOPiv,BrettPhos,BuCN,0.153,105,58.95
KOPiv,PPhtBu2,BuCN,0.153,105,0
KOPiv,tBPh-CPhos,BuCN,0.153,105,10.05
KOPiv,PCy3 HBF4,BuCN,0.153,105,1.37
KOPiv,PPh3,BuCN,0.153,105,7.88
KOPiv,X-Phos,BuCN,0.153,105,73.33
CsOAc,BrettPhos,BuCN,0.153,105,73.08
CsOAc,PPhtBu2,BuCN,0.153,105,0
CsOAc,tBPh-CPhos,BuCN,0.153,105,6.4
CsOAc,PCy3 HBF4,BuCN,0.153,105,2.15
CsOAc,PPh3,BuCN,0.153,105,5.55
CsOAc,X-Phos,BuCN,0.153,105,84.62
CsOPiv,BrettPhos,BuCN,0.153,105,56.5
CsOPiv,PPhtBu2,BuCN,0.153,105,0
CsOPiv,tBPh-CPhos,BuCN,0.153,105,8.84
CsOPiv,PCy3 HBF4,BuCN,0.153,105,2.01
CsOPiv,PPh3,BuCN,0.153,105,4.1
CsOPiv,X-Phos,BuCN,0.153,105,79.76
KOAc,BrettPhos,BuOAc,0.153,105,17.26
KOAc,PPhtBu2,BuOAc,0.153,105,0
KOAc,tBPh-CPhos,BuOAc,0.153,105,0
KOAc,PCy3 HBF4,BuOAc,0.153,105,0
KOAc,PPh3,BuOAc,0.153,105,4.51
KOAc,X-Phos,BuOAc,0.153,105,53.49
KOPiv,BrettPhos,BuOAc,0.153,105,33.97
KOPiv,PPhtBu2,BuOAc,0.153,105,0
KOPiv,tBPh-CPhos,BuOAc,0.153,105,0
KOPiv,PCy3 HBF4,BuOAc,0.153,105,0
KOPiv,PPh3,BuOAc,0.153,105,2.95
KOPiv,X-Phos,BuOAc,0.153,105,44.48
CsOAc,BrettPhos,BuOAc,0.153,105,20.35
CsOAc,PPhtBu2,BuOAc,0.153,105,0
CsOAc,tBPh-CPhos,BuOAc,0.153,105,0
CsOAc,PCy3 HBF4,BuOAc,0.153,105,0
CsOAc,PPh3,BuOAc,0.153,105,4.2
CsOAc,X-Phos,BuOAc,0.153,105,81.66
CsOPiv,BrettPhos,BuOAc,0.153,105,24.56
CsOPiv,PPhtBu2,BuOAc,0.153,105,0
CsOPiv,tBPh-CPhos,BuOAc,0.153,105,0
CsOPiv,PCy3 HBF4,BuOAc,0.153,105,0
CsOPiv,PPh3,BuOAc,0.153,105,1.94
CsOPiv,X-Phos,BuOAc,0.153,105,5.53
KOAc,BrettPhos,p-Xylene,0.153,105,16.87
KOAc,PPhtBu2,p-Xylene,0.153,105,0
KOAc,tBPh-CPhos,p-Xylene,0.153,105,8.3
KOAc,PCy3 HBF4,p-Xylene,0.153,105,0
KOAc,PPh3,p-Xylene,0.153,105,3.57
KOAc,X-Phos,p-Xylene,0.153,105,39.32
KOPiv,BrettPhos,p-Xylene,0.153,105,40.76
KOPiv,PPhtBu2,p-Xylene,0.153,105,0
KOPiv,tBPh-CPhos,p-Xylene,0.153,105,47.33
KOPiv,PCy3 HBF4,p-Xylene,0.153,105,0
KOPiv,PPh3,p-Xylene,0.153,105,6.42
KOPiv,X-Phos,p-Xylene,0.153,105,34.45
CsOAc,BrettPhos,p-Xylene,0.153,105,44.16
CsOAc,PPhtBu2,p-Xylene,0.153,105,0
CsOAc,tBPh-CPhos,p-Xylene,0.153,105,20.31
CsOAc,PCy3 HBF4,p-Xylene,0.153,105,0.28
CsOAc,PPh3,p-Xylene,0.153,105,13.71
CsOAc,X-Phos,p-Xylene,0.153,105,76.63
CsOPiv,BrettPhos,p-Xylene,0.153,105,24.76
CsOPiv,PPhtBu2,p-Xylene,0.153,105,0
CsOPiv,tBPh-CPhos,p-Xylene,0.153,105,29.56
CsOPiv,PCy3 HBF4,p-Xylene,0.153,105,0
CsOPiv,PPh3,p-Xylene,0.153,105,2.11
CsOPiv,X-Phos,p-Xylene,0.153,105,73.93
KOAc,BrettPhos,DMAc,0.153,120,5.95
KOAc,PPhtBu2,DMAc,0.153,120,4.3
KOAc,tBPh-CPhos,DMAc,0.153,120,76.59
KOAc,PCy3 HBF4,DMAc,0.153,120,11.91
KOAc,PPh3,DMAc,0.153,120,51.83
KOAc,X-Phos,DMAc,0.153,120,84.67
KOPiv,BrettPhos,DMAc,0.153,120,0.89
KOPiv,PPhtBu2,DMAc,0.153,120,0
KOPiv,tBPh-CPhos,DMAc,0.153,120,45.01
KOPiv,PCy3 HBF4,DMAc,0.153,120,24.11
KOPiv,PPh3,DMAc,0.153,120,79.1
KOPiv,X-Phos,DMAc,0.153,120,80.39
CsOAc,BrettPhos,DMAc,0.153,120,7.43
CsOAc,PPhtBu2,DMAc,0.153,120,0.51
CsOAc,tBPh-CPhos,DMAc,0.153,120,32.21
CsOAc,PCy3 HBF4,DMAc,0.153,120,18.61
CsOAc,PPh3,DMAc,0.153,120,78.19
CsOAc,X-Phos,DMAc,0.153,120,84.49
CsOPiv,BrettPhos,DMAc,0.153,120,0
CsOPiv,PPhtBu2,DMAc,0.153,120,0
CsOPiv,tBPh-CPhos,DMAc,0.153,120,9.96
CsOPiv,PCy3 HBF4,DMAc,0.153,120,13.88
CsOPiv,PPh3,DMAc,0.153,120,58.4
CsOPiv,X-Phos,DMAc,0.153,120,48.34
KOAc,BrettPhos,BuCN,0.153,120,25.77
KOAc,PPhtBu2,BuCN,0.153,120,0
KOAc,tBPh-CPhos,BuCN,0.153,120,7.65
KOAc,PCy3 HBF4,BuCN,0.153,120,0.74
KOAc,PPh3,BuCN,0.153,120,12.34
KOAc,X-Phos,BuCN,0.153,120,78.6
KOPiv,BrettPhos,BuCN,0.153,120,58.48
KOPiv,PPhtBu2,BuCN,0.153,120,0
KOPiv,tBPh-CPhos,BuCN,0.153,120,9.61
KOPiv,PCy3 HBF4,BuCN,0.153,120,2.77
KOPiv,PPh3,BuCN,0.153,120,15.64
KOPiv,X-Phos,BuCN,0.153,120,71.43
CsOAc,BrettPhos,BuCN,0.153,120,69.03
CsOAc,PPhtBu2,BuCN,0.153,120,0
CsOAc,tBPh-CPhos,BuCN,0.153,120,8.82
CsOAc,PCy3 HBF4,BuCN,0.153,120,1.89
CsOAc,PPh3,BuCN,0.153,120,19.64
CsOAc,X-Phos,BuCN,0.153,120,77.01
CsOPiv,BrettPhos,BuCN,0.153,120,53.81
CsOPiv,PPhtBu2,BuCN,0.153,120,0
CsOPiv,tBPh-CPhos,BuCN,0.153,120,7.54
CsOPiv,PCy3 HBF4,BuCN,0.153,120,3.33
CsOPiv,PPh3,BuCN,0.153,120,6.1
CsOPiv,X-Phos,BuCN,0.153,120,78.44
KOAc,BrettPhos,BuOAc,0.153,120,18.26
KOAc,PPhtBu2,BuOAc,0.153,120,0
KOAc,tBPh-CPhos,BuOAc,0.153,120,0
KOAc,PCy3 HBF4,BuOAc,0.153,120,0
KOAc,PPh3,BuOAc,0.153,120,4.86
KOAc,X-Phos,BuOAc,0.153,120,76.24
KOPiv,BrettPhos,BuOAc,0.153,120,36.18
KOPiv,PPhtBu2,BuOAc,0.153,120,0
KOPiv,tBPh-CPhos,BuOAc,0.153,120,14.01
KOPiv,PCy3 HBF4,BuOAc,0.153,120,0
KOPiv,PPh3,BuOAc,0.153,120,4.33
KOPiv,X-Phos,BuOAc,0.153,120,48.91
CsOAc,BrettPhos,BuOAc,0.153,120,20.6
CsOAc,PPhtBu2,BuOAc,0.153,120,0
CsOAc,tBPh-CPhos,BuOAc,0.153,120,0
CsOAc,PCy3 HBF4,BuOAc,0.153,120,0
CsOAc,PPh3,BuOAc,0.153,120,14.26
CsOAc,X-Phos,BuOAc,0.153,120,6.23
CsOPiv,BrettPhos,BuOAc,0.153,120,25.67
CsOPiv,PPhtBu2,BuOAc,0.153,120,0
CsOPiv,tBPh-CPhos,BuOAc,0.153,120,0
CsOPiv,PCy3 HBF4,BuOAc,0.153,120,0
CsOPiv,PPh3,BuOAc,0.153,120,2.81
CsOPiv,X-Phos,BuOAc,0.153,120,59.05
KOAc,BrettPhos,p-Xylene,0.153,120,18.89
KOAc,PPhtBu2,p-Xylene,0.153,120,0
KOAc,tBPh-CPhos,p-Xylene,0.153,120,8.61
KOAc,PCy3 HBF4,p-Xylene,0.153,120,0
KOAc,PPh3,p-Xylene,0.153,120,5.22
KOAc,X-Phos,p-Xylene,0.153,120,61.67
KOPiv,BrettPhos,p-Xylene,0.153,120,49.57
KOPiv,PPhtBu2,p-Xylene,0.153,120,0
KOPiv,tBPh-CPhos,p-Xylene,0.153,120,29.39
KOPiv,PCy3 HBF4,p-Xylene,0.153,120,0
KOPiv,PPh3,p-Xylene,0.153,120,7.54
KOPiv,X-Phos,p-Xylene,0.153,120,62.15
CsOAc,BrettPhos,p-Xylene,0.153,120,43.9
CsOAc,PPhtBu2,p-Xylene,0.153,120,0
CsOAc,tBPh-CPhos,p-Xylene,0.153,120,22.08
CsOAc,PCy3 HBF4,p-Xylene,0.153,120,1.12
CsOAc,PPh3,p-Xylene,0.153,120,11.83
CsOAc,X-Phos,p-Xylene,0.153,120,70.8
CsOPiv,BrettPhos,p-Xylene,0.153,120,26.29
CsOPiv,PPhtBu2,p-Xylene,0.153,120,0
CsOPiv,tBPh-CPhos,p-Xylene,0.153,120,29.96
CsOPiv,PCy3 HBF4,p-Xylene,0.153,120,0.83
CsOPiv,PPh3,p-Xylene,0.153,120,4.26
CsOPiv,X-Phos,p-Xylene,0.153,120,68.31
KOAc,P(fur)3,DMAc,0.1,90,9.59
KOAc,PPh2Me,DMAc,0.1,90,1.06
KOAc,GorlosPhos HBF4,DMAc,0.1,90,4.85
KOAc,JackiePhos,DMAc,0.1,90,45.87
KOAc,CgMe-PPh,DMAc,0.1,90,13.19
KOAc,PPhMe2,DMAc,0.1,90,0
KOPiv,P(fur)3,DMAc,0.1,90,26.29
KOPiv,PPh2Me,DMAc,0.1,90,0
KOPiv,GorlosPhos HBF4,DMAc,0.1,90,10.34
KOPiv,JackiePhos,DMAc,0.1,90,3.51
KOPiv,CgMe-PPh,DMAc,0.1,90,55.7
KOPiv,PPhMe2,DMAc,0.1,90,0
CsOAc,P(fur)3,DMAc,0.1,90,17.98
CsOAc,PPh2Me,DMAc,0.1,90,0
CsOAc,GorlosPhos HBF4,DMAc,0.1,90,6.93
CsOAc,JackiePhos,DMAc,0.1,90,16.92
CsOAc,CgMe-PPh,DMAc,0.1,90,39.55
CsOAc,PPhMe2,DMAc,0.1,90,0
CsOPiv,P(fur)3,DMAc,0.1,90,21.46
CsOPiv,PPh2Me,DMAc,0.1,90,0
CsOPiv,GorlosPhos HBF4,DMAc,0.1,90,13.78
CsOPiv,JackiePhos,DMAc,0.1,90,1.26
CsOPiv,CgMe-PPh,DMAc,0.1,90,75.28
CsOPiv,PPhMe2,DMAc,0.1,90,0
KOAc,P(fur)3,BuCN,0.1,90,2.55
KOAc,PPh2Me,BuCN,0.1,90,0
KOAc,GorlosPhos HBF4,BuCN,0.1,90,3.89
KOAc,JackiePhos,BuCN,0.1,90,19.97
KOAc,CgMe-PPh,BuCN,0.1,90,16.04
KOAc,PPhMe2,BuCN,0.1,90,0
KOPiv,P(fur)3,BuCN,0.1,90,26.88
KOPiv,PPh2Me,BuCN,0.1,90,0
KOPiv,GorlosPhos HBF4,BuCN,0.1,90,0
KOPiv,JackiePhos,BuCN,0.1,90,0
KOPiv,CgMe-PPh,BuCN,0.1,90,57.18
KOPiv,PPhMe2,BuCN,0.1,90,0
CsOAc,P(fur)3,BuCN,0.1,90,26.28
CsOAc,PPh2Me,BuCN,0.1,90,0
CsOAc,GorlosPhos HBF4,BuCN,0.1,90,18.59
CsOAc,JackiePhos,BuCN,0.1,90,32.14
CsOAc,CgMe-PPh,BuCN,0.1,90,57.95
CsOAc,PPhMe2,BuCN,0.1,90,0
CsOPiv,P(fur)3,BuCN,0.1,90,31.38
CsOPiv,PPh2Me,BuCN,0.1,90,0
CsOPiv,GorlosPhos HBF4,BuCN,0.1,90,24.25
CsOPiv,JackiePhos,BuCN,0.1,90,13.01
CsOPiv,CgMe-PPh,BuCN,0.1,90,37.4
CsOPiv,PPhMe2,BuCN,0.1,90,0
KOAc,P(fur)3,BuOAc,0.1,90,5.5
KOAc,PPh2Me,BuOAc,0.1,90,0
KOAc,GorlosPhos HBF4,BuOAc,0.1,90,0.79
KOAc,JackiePhos,BuOAc,0.1,90,4.43
KOAc,CgMe-PPh,BuOAc,0.1,90,14.83
KOAc,PPhMe2,BuOAc,0.1,90,0
KOPiv,P(fur)3,BuOAc,0.1,90,25
KOPiv,PPh2Me,BuOAc,0.1,90,0
KOPiv,GorlosPhos HBF4,BuOAc,0.1,90,8.16
KOPiv,JackiePhos,BuOAc,0.1,90,0
KOPiv,CgMe-PPh,BuOAc,0.1,90,21.51
KOPiv,PPhMe2,BuOAc,0.1,90,0
CsOAc,P(fur)3,BuOAc,0.1,90,16.28
CsOAc,PPh2Me,BuOAc,0.1,90,0
CsOAc,GorlosPhos HBF4,BuOAc,0.1,90,2.67
CsOAc,JackiePhos,BuOAc,0.1,90,2.69
CsOAc,CgMe-PPh,BuOAc,0.1,90,24.59
CsOAc,PPhMe2,BuOAc,0.1,90,0
CsOPiv,P(fur)3,BuOAc,0.1,90,14.58
CsOPiv,PPh2Me,BuOAc,0.1,90,0
CsOPiv,GorlosPhos HBF4,BuOAc,0.1,90,8.88
CsOPiv,JackiePhos,BuOAc,0.1,90,2.21
CsOPiv,CgMe-PPh,BuOAc,0.1,90,17.93
CsOPiv,PPhMe2,BuOAc,0.1,90,0
KOAc,P(fur)3,p-Xylene,0.1,90,3.63
KOAc,PPh2Me,p-Xylene,0.1,90,0
KOAc,GorlosPhos HBF4,p-Xylene,0.1,90,0.7
KOAc,JackiePhos,p-Xylene,0.1,90,4.95
KOAc,CgMe-PPh,p-Xylene,0.1,90,11.95
KOAc,PPhMe2,p-Xylene,0.1,90,0
KOPiv,P(fur)3,p-Xylene,0.1,90,20.46
KOPiv,PPh2Me,p-Xylene,0.1,90,0
KOPiv,GorlosPhos HBF4,p-Xylene,0.1,90,4.73
KOPiv,JackiePhos,p-Xylene,0.1,90,8.98
KOPiv,CgMe-PPh,p-Xylene,0.1,90,18.9
KOPiv,PPhMe2,p-Xylene,0.1,90,0
CsOAc,P(fur)3,p-Xylene,0.1,90,20.22
CsOAc,PPh2Me,p-Xylene,0.1,90,0
CsOAc,GorlosPhos HBF4,p-Xylene,0.1,90,3.17
CsOAc,JackiePhos,p-Xylene,0.1,90,5.5
CsOAc,CgMe-PPh,p-Xylene,0.1,90,23.05
CsOAc,PPhMe2,p-Xylene,0.1,90,0
CsOPiv,P(fur)3,p-Xylene,0.1,90,9.6
CsOPiv,PPh2Me,p-Xylene,0.1,90,0
CsOPiv,GorlosPhos HBF4,p-Xylene,0.1,90,2.99
CsOPiv,JackiePhos,p-Xylene,0.1,90,7.8
CsOPiv,CgMe-PPh,p-Xylene,0.1,90,8.21
CsOPiv,PPhMe2,p-Xylene,0.1,90,0
KOAc,P(fur)3,DMAc,0.1,105,41.9
KOAc,PPh2Me,DMAc,0.1,105,8.23
KOAc,GorlosPhos HBF4,DMAc,0.1,105,13.11
KOAc,JackiePhos,DMAc,0.1,105,75.22
KOAc,CgMe-PPh,DMAc,0.1,105,80.38
KOAc,PPhMe2,DMAc,0.1,105,0
